品种,批发市场,最低价格,最高价格,平均价格,发布时间
胡萝卜,天津西青当城无公害农副产品批发...,￥0.90,￥1.40,￥1.15,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,天津韩家墅农产品批发市场,￥1.00,￥1.30,￥1.15,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,石家庄国际农产品批发交易中心,￥0.60,￥1.00,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,河北乐亭冀东果菜批发市场,￥1.20,￥2.25,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,河北唐山市荷花坑市场,￥1.00,￥1.50,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,河北魏县天仙果菜批发交易市场,￥0.90,￥1.00,￥0.95,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,河北怀来县京西果菜批发市场,￥1.00,￥0.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,张北县坝上蔬菜产业有限公司,￥0.90,￥1.10,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西省太原市河西农产品有限公司,￥0.80,￥1.10,￥0.95,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西太原丈子头农产品物流园（原...,￥0.75,￥1.00,￥0.85,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西长治市紫坊农产品综合交易市场,￥1.00,￥1.20,￥1.10,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西晋城绿欣农产品批发市场,￥1.20,￥1.40,￥1.30,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,晋城市绿盛农工商实业有限公司农...,￥1.00,￥1.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西运城市蔬菜批发市场,￥1.20,￥2.00,￥1.25,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,山西汾阳市晋阳农副产品批发市场,￥0.00,￥0.00,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,内蒙古呼和浩特市东瓦窑农副产品...,￥0.75,￥1.50,￥0.80,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
胡萝卜,呼和浩特市美通首府无公害农产品...,￥0.00,￥0.00,￥1.00,2024-04-27,http://price.cnveg.com/select/st%E8%83%A1%E8%90%9D%E5%8D%9Cy2024m4d-1cta-1by-1p1.html
