品种,批发市场,最低价格,最高价格,平均价格,发布时间
青椒,北京岳各庄批发市场,￥1.80,￥2.50,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,北京顺鑫石门农产品批发市场,￥1.90,￥2.30,￥2.10,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津何庄子鲜活农产品中心批发市场,￥1.00,￥1.80,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津武清大沙河批发市场,￥1.20,￥1.50,￥1.35,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津市金钟蔬菜批发市场,￥1.20,￥2.00,￥1.50,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津市南开区红旗农贸综合批发市场,￥1.80,￥2.30,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津西青当城无公害农副产品批发...,￥1.70,￥2.40,￥2.05,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,天津韩家墅农产品批发市场,￥1.00,￥1.80,￥1.40,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,石家庄国际农产品批发交易中心,￥1.70,￥2.00,￥1.85,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,河北乐亭冀东果菜批发市场,￥2.50,￥4.00,￥3.00,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,河北唐山市荷花坑市场,￥1.70,￥1.90,￥1.80,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,河北魏县天仙果菜批发交易市场,￥1.50,￥1.75,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,河北怀来县京西果菜批发市场,￥2.30,￥0.00,￥2.30,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,张北县坝上蔬菜产业有限公司,￥2.40,￥2.50,￥2.45,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,河北三河市建兴农副产品批发市场,￥0.00,￥0.00,￥3.40,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西省太原市河西农产品有限公司,￥2.00,￥2.50,￥2.25,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西太原丈子头农产品物流园（原...,￥1.75,￥2.00,￥1.85,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西阳泉蔬菜瓜果批发交易市场,￥0.00,￥0.00,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西长治市紫坊农产品综合交易市场,￥2.00,￥2.30,￥2.15,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西晋城绿欣农产品批发市场,￥2.70,￥2.80,￥2.75,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,晋城市绿盛农工商实业有限公司农...,￥2.50,￥2.50,￥2.50,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西运城市蔬菜批发市场,￥1.50,￥2.30,￥1.60,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西临汾尧丰农副产品批发市场,￥0.00,￥0.00,￥2.00,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,孝义市蔬菜批发交易市场,￥0.00,￥0.00,￥2.20,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
青椒,山西汾阳市晋阳农副产品批发市场,￥0.00,￥0.00,￥2.50,2024-04-27,http://price.cnveg.com/select/st%E9%9D%92%E6%A4%92y2024m4d-1cta-1by-1p1.html
